version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,2976,31,96,2980,24930
3.12.0,2976,31,96,2980,24926
3.13.0,3072,32,96,3076,25840
3.20.0,3168,33,96,3172,26486
