version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,368,23,16,372,3448
3.16.0,352,22,16,356,3290
3.17.0,336,21,16,340,3124
3.20.0,496,31,16,500,3440
3.23.0.1.3,480,30,16,484,3278
